"","Admit","Gender","Dept"
"1.89","Admitted","Male","A"
"1.90","Admitted","Male","A"
"1.91","Admitted","Male","A"
"1.92","Admitted","Male","A"
"1.93","Admitted","Male","A"
"1.94","Admitted","Male","A"
"1.95","Admitted","Male","A"
"1.96","Admitted","Male","A"
"1.97","Admitted","Male","A"
"1.98","Admitted","Male","A"
"1.99","Admitted","Male","A"
"1.100","Admitted","Male","A"
"1.101","Admitted","Male","A"
"1.102","Admitted","Male","A"
"1.103","Admitted","Male","A"
"1.104","Admitted","Male","A"
"1.105","Admitted","Male","A"
"1.106","Admitted","Male","A"
"1.107","Admitted","Male","A"
"1.108","Admitted","Male","A"
"1.109","Admitted","Male","A"
"1.110","Admitted","Male","A"
"1.111","Admitted","Male","A"
"1.112","Admitted","Male","A"
"1.113","Admitted","Male","A"
"1.114","Admitted","Male","A"
"1.115","Admitted","Male","A"
"1.116","Admitted","Male","A"
"1.117","Admitted","Male","A"
"1.118","Admitted","Male","A"
"1.119","Admitted","Male","A"
"1.120","Admitted","Male","A"
"1.121","Admitted","Male","A"
"1.122","Admitted","Male","A"
"1.123","Admitted","Male","A"
"1.124","Admitted","Male","A"
"1.125","Admitted","Male","A"
"1.126","Admitted","Male","A"
"1.127","Admitted","Male","A"
"1.128","Admitted","Male","A"
"1.129","Admitted","Male","A"
"1.130","Admitted","Male","A"
"1.131","Admitted","Male","A"
"1.132","Admitted","Male","A"
"1.133","Admitted","Male","A"
"1.134","Admitted","Male","A"
"1.135","Admitted","Male","A"
"1.136","Admitted","Male","A"
"1.137","Admitted","Male","A"
"1.138","Admitted","Male","A"
"1.139","Admitted","Male","A"
"1.140","Admitted","Male","A"
"1.141","Admitted","Male","A"
"1.142","Admitted","Male","A"
"1.143","Admitted","Male","A"
"1.144","Admitted","Male","A"
"1.145","Admitted","Male","A"
"1.146","Admitted","Male","A"
"1.147","Admitted","Male","A"
"1.148","Admitted","Male","A"
"1.149","Admitted","Male","A"
"1.150","Admitted","Male","A"
"1.151","Admitted","Male","A"
"1.152","Admitted","Male","A"
"1.153","Admitted","Male","A"
"1.154","Admitted","Male","A"
"1.155","Admitted","Male","A"
"1.156","Admitted","Male","A"
"1.157","Admitted","Male","A"
"1.158","Admitted","Male","A"
"1.159","Admitted","Male","A"
"1.160","Admitted","Male","A"
"1.161","Admitted","Male","A"
"1.162","Admitted","Male","A"
"1.163","Admitted","Male","A"
"1.164","Admitted","Male","A"
"1.165","Admitted","Male","A"
"1.166","Admitted","Male","A"
"1.167","Admitted","Male","A"
"1.168","Admitted","Male","A"
"1.169","Admitted","Male","A"
"1.170","Admitted","Male","A"
"1.171","Admitted","Male","A"
"1.172","Admitted","Male","A"
"1.173","Admitted","Male","A"
"1.174","Admitted","Male","A"
"1.175","Admitted","Male","A"
"1.176","Admitted","Male","A"
"1.177","Admitted","Male","A"
"1.178","Admitted","Male","A"
"1.179","Admitted","Male","A"
"1.180","Admitted","Male","A"
"1.181","Admitted","Male","A"
"1.182","Admitted","Male","A"
"1.183","Admitted","Male","A"
"1.184","Admitted","Male","A"
"1.185","Admitted","Male","A"
"1.186","Admitted","Male","A"
"1.187","Admitted","Male","A"
"1.188","Admitted","Male","A"
"1.189","Admitted","Male","A"
"1.190","Admitted","Male","A"
"1.191","Admitted","Male","A"
"1.192","Admitted","Male","A"
"1.193","Admitted","Male","A"
"1.194","Admitted","Male","A"
"1.195","Admitted","Male","A"
"1.196","Admitted","Male","A"
"1.197","Admitted","Male","A"
"1.198","Admitted","Male","A"
"1.199","Admitted","Male","A"
"1.200","Admitted","Male","A"
"1.201","Admitted","Male","A"
"1.202","Admitted","Male","A"
"1.203","Admitted","Male","A"
"1.204","Admitted","Male","A"
"1.205","Admitted","Male","A"
"1.206","Admitted","Male","A"
"1.207","Admitted","Male","A"
"1.208","Admitted","Male","A"
"1.209","Admitted","Male","A"
"1.210","Admitted","Male","A"
"1.211","Admitted","Male","A"
"1.212","Admitted","Male","A"
"1.213","Admitted","Male","A"
"1.214","Admitted","Male","A"
"1.215","Admitted","Male","A"
"1.216","Admitted","Male","A"
"1.217","Admitted","Male","A"
"1.218","Admitted","Male","A"
"1.219","Admitted","Male","A"
"1.220","Admitted","Male","A"
"1.221","Admitted","Male","A"
"1.222","Admitted","Male","A"
"1.223","Admitted","Male","A"
"1.224","Admitted","Male","A"
"1.225","Admitted","Male","A"
"1.226","Admitted","Male","A"
"1.227","Admitted","Male","A"
"1.228","Admitted","Male","A"
"1.229","Admitted","Male","A"
"1.230","Admitted","Male","A"
"1.231","Admitted","Male","A"
"1.232","Admitted","Male","A"
"1.233","Admitted","Male","A"
"1.234","Admitted","Male","A"
"1.235","Admitted","Male","A"
"1.236","Admitted","Male","A"
"1.237","Admitted","Male","A"
"1.238","Admitted","Male","A"
"1.239","Admitted","Male","A"
"1.240","Admitted","Male","A"
"1.241","Admitted","Male","A"
"1.242","Admitted","Male","A"
"1.243","Admitted","Male","A"
"1.244","Admitted","Male","A"
"1.245","Admitted","Male","A"
"1.246","Admitted","Male","A"
"1.247","Admitted","Male","A"
"1.248","Admitted","Male","A"
"1.249","Admitted","Male","A"
"1.250","Admitted","Male","A"
"1.251","Admitted","Male","A"
"1.252","Admitted","Male","A"
"1.253","Admitted","Male","A"
"1.254","Admitted","Male","A"
"1.255","Admitted","Male","A"
"1.256","Admitted","Male","A"
"1.257","Admitted","Male","A"
"1.258","Admitted","Male","A"
"1.259","Admitted","Male","A"
"1.260","Admitted","Male","A"
"1.261","Admitted","Male","A"
"1.262","Admitted","Male","A"
"1.263","Admitted","Male","A"
"1.264","Admitted","Male","A"
"1.265","Admitted","Male","A"
"1.266","Admitted","Male","A"
"1.267","Admitted","Male","A"
"1.268","Admitted","Male","A"
"1.269","Admitted","Male","A"
"1.270","Admitted","Male","A"
"1.271","Admitted","Male","A"
"1.272","Admitted","Male","A"
"1.273","Admitted","Male","A"
"1.274","Admitted","Male","A"
"1.275","Admitted","Male","A"
"1.276","Admitted","Male","A"
"1.277","Admitted","Male","A"
"1.278","Admitted","Male","A"
"1.279","Admitted","Male","A"
"1.280","Admitted","Male","A"
"1.281","Admitted","Male","A"
"1.282","Admitted","Male","A"
"1.283","Admitted","Male","A"
"1.284","Admitted","Male","A"
"1.285","Admitted","Male","A"
"1.286","Admitted","Male","A"
"1.287","Admitted","Male","A"
"1.288","Admitted","Male","A"
"1.289","Admitted","Male","A"
"1.290","Admitted","Male","A"
"1.291","Admitted","Male","A"
"1.292","Admitted","Male","A"
"1.293","Admitted","Male","A"
"1.294","Admitted","Male","A"
"1.295","Admitted","Male","A"
"1.296","Admitted","Male","A"
"1.297","Admitted","Male","A"
"1.298","Admitted","Male","A"
"1.299","Admitted","Male","A"
"1.300","Admitted","Male","A"
"1.301","Admitted","Male","A"
"1.302","Admitted","Male","A"
"1.303","Admitted","Male","A"
"1.304","Admitted","Male","A"
"1.305","Admitted","Male","A"
"1.306","Admitted","Male","A"
"1.307","Admitted","Male","A"
"1.308","Admitted","Male","A"
"1.309","Admitted","Male","A"
"1.310","Admitted","Male","A"
"1.311","Admitted","Male","A"
"1.312","Admitted","Male","A"
"1.313","Admitted","Male","A"
"1.314","Admitted","Male","A"
"1.315","Admitted","Male","A"
"1.316","Admitted","Male","A"
"1.317","Admitted","Male","A"
"1.318","Admitted","Male","A"
"1.319","Admitted","Male","A"
"1.320","Admitted","Male","A"
"1.321","Admitted","Male","A"
"1.322","Admitted","Male","A"
"1.323","Admitted","Male","A"
"1.324","Admitted","Male","A"
"1.325","Admitted","Male","A"
"1.326","Admitted","Male","A"
"1.327","Admitted","Male","A"
"1.328","Admitted","Male","A"
"1.329","Admitted","Male","A"
"1.330","Admitted","Male","A"
"1.331","Admitted","Male","A"
"1.332","Admitted","Male","A"
"1.333","Admitted","Male","A"
"1.334","Admitted","Male","A"
"1.335","Admitted","Male","A"
"1.336","Admitted","Male","A"
"1.337","Admitted","Male","A"
"1.338","Admitted","Male","A"
"1.339","Admitted","Male","A"
"1.340","Admitted","Male","A"
"1.341","Admitted","Male","A"
"1.342","Admitted","Male","A"
"1.343","Admitted","Male","A"
"1.344","Admitted","Male","A"
"1.345","Admitted","Male","A"
"1.346","Admitted","Male","A"
"1.347","Admitted","Male","A"
"1.348","Admitted","Male","A"
"1.349","Admitted","Male","A"
"1.350","Admitted","Male","A"
"1.351","Admitted","Male","A"
"1.352","Admitted","Male","A"
"1.353","Admitted","Male","A"
"1.354","Admitted","Male","A"
"1.355","Admitted","Male","A"
"1.356","Admitted","Male","A"
"1.357","Admitted","Male","A"
"1.358","Admitted","Male","A"
"1.359","Admitted","Male","A"
"1.360","Admitted","Male","A"
"1.361","Admitted","Male","A"
"1.362","Admitted","Male","A"
"1.363","Admitted","Male","A"
"1.364","Admitted","Male","A"
"1.365","Admitted","Male","A"
"1.366","Admitted","Male","A"
"1.367","Admitted","Male","A"
"1.368","Admitted","Male","A"
"1.369","Admitted","Male","A"
"1.370","Admitted","Male","A"
"1.371","Admitted","Male","A"
"1.372","Admitted","Male","A"
"1.373","Admitted","Male","A"
"1.374","Admitted","Male","A"
"1.375","Admitted","Male","A"
"1.376","Admitted","Male","A"
"1.377","Admitted","Male","A"
"1.378","Admitted","Male","A"
"1.379","Admitted","Male","A"
"1.380","Admitted","Male","A"
"1.381","Admitted","Male","A"
"1.382","Admitted","Male","A"
"1.383","Admitted","Male","A"
"1.384","Admitted","Male","A"
"1.385","Admitted","Male","A"
"1.386","Admitted","Male","A"
"1.387","Admitted","Male","A"
"1.388","Admitted","Male","A"
"1.389","Admitted","Male","A"
"1.390","Admitted","Male","A"
"1.391","Admitted","Male","A"
"1.392","Admitted","Male","A"
"1.393","Admitted","Male","A"
"1.394","Admitted","Male","A"
"1.395","Admitted","Male","A"
"1.396","Admitted","Male","A"
"1.397","Admitted","Male","A"
"1.398","Admitted","Male","A"
"1.399","Admitted","Male","A"
"1.400","Admitted","Male","A"
"1.401","Admitted","Male","A"
"1.402","Admitted","Male","A"
"1.403","Admitted","Male","A"
"1.404","Admitted","Male","A"
"1.405","Admitted","Male","A"
"1.406","Admitted","Male","A"
"1.407","Admitted","Male","A"
"1.408","Admitted","Male","A"
"1.409","Admitted","Male","A"
"1.410","Admitted","Male","A"
"1.411","Admitted","Male","A"
"1.412","Admitted","Male","A"
"1.413","Admitted","Male","A"
"1.414","Admitted","Male","A"
"1.415","Admitted","Male","A"
"1.416","Admitted","Male","A"
"1.417","Admitted","Male","A"
"1.418","Admitted","Male","A"
"1.419","Admitted","Male","A"
"1.420","Admitted","Male","A"
"1.421","Admitted","Male","A"
"1.422","Admitted","Male","A"
"1.423","Admitted","Male","A"
"1.424","Admitted","Male","A"
"1.425","Admitted","Male","A"
"1.426","Admitted","Male","A"
"1.427","Admitted","Male","A"
"1.428","Admitted","Male","A"
"1.429","Admitted","Male","A"
"1.430","Admitted","Male","A"
"1.431","Admitted","Male","A"
"1.432","Admitted","Male","A"
"1.433","Admitted","Male","A"
"1.434","Admitted","Male","A"
"1.435","Admitted","Male","A"
"1.436","Admitted","Male","A"
"1.437","Admitted","Male","A"
"1.438","Admitted","Male","A"
"1.439","Admitted","Male","A"
"1.440","Admitted","Male","A"
"1.441","Admitted","Male","A"
"1.442","Admitted","Male","A"
"1.443","Admitted","Male","A"
"1.444","Admitted","Male","A"
"1.445","Admitted","Male","A"
"1.446","Admitted","Male","A"
"1.447","Admitted","Male","A"
"1.448","Admitted","Male","A"
"1.449","Admitted","Male","A"
"1.450","Admitted","Male","A"
"1.451","Admitted","Male","A"
"1.452","Admitted","Male","A"
"1.453","Admitted","Male","A"
"1.454","Admitted","Male","A"
"1.455","Admitted","Male","A"
"1.456","Admitted","Male","A"
"1.457","Admitted","Male","A"
"1.458","Admitted","Male","A"
"1.459","Admitted","Male","A"
"1.460","Admitted","Male","A"
"1.461","Admitted","Male","A"
"1.462","Admitted","Male","A"
"1.463","Admitted","Male","A"
"1.464","Admitted","Male","A"
"1.465","Admitted","Male","A"
"1.466","Admitted","Male","A"
"1.467","Admitted","Male","A"
"1.468","Admitted","Male","A"
"1.469","Admitted","Male","A"
"1.470","Admitted","Male","A"
"1.471","Admitted","Male","A"
"1.472","Admitted","Male","A"
"1.473","Admitted","Male","A"
"1.474","Admitted","Male","A"
"1.475","Admitted","Male","A"
"1.476","Admitted","Male","A"
"1.477","Admitted","Male","A"
"1.478","Admitted","Male","A"
"1.479","Admitted","Male","A"
"1.480","Admitted","Male","A"
"1.481","Admitted","Male","A"
"1.482","Admitted","Male","A"
"1.483","Admitted","Male","A"
"1.484","Admitted","Male","A"
"1.485","Admitted","Male","A"
"1.486","Admitted","Male","A"
"1.487","Admitted","Male","A"
"1.488","Admitted","Male","A"
"1.489","Admitted","Male","A"
"1.490","Admitted","Male","A"
"1.491","Admitted","Male","A"
"1.492","Admitted","Male","A"
"1.493","Admitted","Male","A"
"1.494","Admitted","Male","A"
"1.495","Admitted","Male","A"
"1.496","Admitted","Male","A"
"1.497","Admitted","Male","A"
"1.498","Admitted","Male","A"
"1.499","Admitted","Male","A"
"1.500","Admitted","Male","A"
"1.501","Admitted","Male","A"
"1.502","Admitted","Male","A"
"1.503","Admitted","Male","A"
"1.504","Admitted","Male","A"
"1.505","Admitted","Male","A"
"1.506","Admitted","Male","A"
"1.507","Admitted","Male","A"
"1.508","Admitted","Male","A"
"1.509","Admitted","Male","A"
"1.510","Admitted","Male","A"
"1.511","Admitted","Male","A"
"2","Rejected","Male","A"
"2.1","Rejected","Male","A"
"2.2","Rejected","Male","A"
"2.3","Rejected","Male","A"
"2.4","Rejected","Male","A"
"2.5","Rejected","Male","A"
"2.6","Rejected","Male","A"
"2.7","Rejected","Male","A"
"2.8","Rejected","Male","A"
"2.9","Rejected","Male","A"
"2.10","Rejected","Male","A"
"2.11","Rejected","Male","A"
"2.12","Rejected","Male","A"
"2.13","Rejected","Male","A"
"2.14","Rejected","Male","A"
"2.15","Rejected","Male","A"
"2.16","Rejected","Male","A"
"2.17","Rejected","Male","A"
"2.18","Rejected","Male","A"
"2.19","Rejected","Male","A"
"2.20","Rejected","Male","A"
"2.21","Rejected","Male","A"
"2.22","Rejected","Male","A"
"2.23","Rejected","Male","A"
"2.24","Rejected","Male","A"
"2.25","Rejected","Male","A"
"2.26","Rejected","Male","A"
"2.27","Rejected","Male","A"
"2.28","Rejected","Male","A"
"2.29","Rejected","Male","A"
"2.30","Rejected","Male","A"
"2.31","Rejected","Male","A"
"2.32","Rejected","Male","A"
"2.33","Rejected","Male","A"
"2.34","Rejected","Male","A"
"2.35","Rejected","Male","A"
"2.36","Rejected","Male","A"
"2.37","Rejected","Male","A"
"2.38","Rejected","Male","A"
"2.39","Rejected","Male","A"
"2.40","Rejected","Male","A"
"2.41","Rejected","Male","A"
"2.42","Rejected","Male","A"
"2.43","Rejected","Male","A"
"2.44","Rejected","Male","A"
"2.45","Rejected","Male","A"
"2.46","Rejected","Male","A"
"2.47","Rejected","Male","A"
"2.48","Rejected","Male","A"
"2.49","Rejected","Male","A"
"2.50","Rejected","Male","A"
"2.51","Rejected","Male","A"
"2.52","Rejected","Male","A"
"2.53","Rejected","Male","A"
"2.54","Rejected","Male","A"
"2.55","Rejected","Male","A"
"2.56","Rejected","Male","A"
"2.57","Rejected","Male","A"
"2.58","Rejected","Male","A"
"2.59","Rejected","Male","A"
"2.60","Rejected","Male","A"
"2.61","Rejected","Male","A"
"2.62","Rejected","Male","A"
"2.63","Rejected","Male","A"
"2.64","Rejected","Male","A"
"2.65","Rejected","Male","A"
"2.66","Rejected","Male","A"
"2.67","Rejected","Male","A"
"2.68","Rejected","Male","A"
"2.69","Rejected","Male","A"
"2.70","Rejected","Male","A"
"2.71","Rejected","Male","A"
"2.72","Rejected","Male","A"
"2.73","Rejected","Male","A"
"2.74","Rejected","Male","A"
"2.75","Rejected","Male","A"
"2.76","Rejected","Male","A"
"2.77","Rejected","Male","A"
"2.78","Rejected","Male","A"
"2.79","Rejected","Male","A"
"2.80","Rejected","Male","A"
"2.81","Rejected","Male","A"
"2.82","Rejected","Male","A"
"2.83","Rejected","Male","A"
"2.84","Rejected","Male","A"
"2.85","Rejected","Male","A"
"2.86","Rejected","Male","A"
"2.87","Rejected","Male","A"
"2.88","Rejected","Male","A"
"2.89","Rejected","Male","A"
"2.90","Rejected","Male","A"
"2.91","Rejected","Male","A"
"2.92","Rejected","Male","A"
"2.93","Rejected","Male","A"
"2.94","Rejected","Male","A"
"2.95","Rejected","Male","A"
"2.96","Rejected","Male","A"
"2.97","Rejected","Male","A"
"2.98","Rejected","Male","A"
"2.99","Rejected","Male","A"
"2.100","Rejected","Male","A"
"2.101","Rejected","Male","A"
"2.102","Rejected","Male","A"
"2.103","Rejected","Male","A"
"2.104","Rejected","Male","A"
"2.105","Rejected","Male","A"
"2.106","Rejected","Male","A"
"2.107","Rejected","Male","A"
"2.108","Rejected","Male","A"
"2.109","Rejected","Male","A"
"2.110","Rejected","Male","A"
"2.111","Rejected","Male","A"
"2.112","Rejected","Male","A"
"2.113","Rejected","Male","A"
"2.114","Rejected","Male","A"
"2.115","Rejected","Male","A"
"2.116","Rejected","Male","A"
"2.117","Rejected","Male","A"
"2.118","Rejected","Male","A"
"2.119","Rejected","Male","A"
"2.120","Rejected","Male","A"
"2.121","Rejected","Male","A"
"2.122","Rejected","Male","A"
"2.123","Rejected","Male","A"
"2.124","Rejected","Male","A"
"2.125","Rejected","Male","A"
"2.126","Rejected","Male","A"
"2.127","Rejected","Male","A"
"2.128","Rejected","Male","A"
"2.129","Rejected","Male","A"
"2.130","Rejected","Male","A"
"2.131","Rejected","Male","A"
"2.132","Rejected","Male","A"
"2.133","Rejected","Male","A"
"2.134","Rejected","Male","A"
"2.135","Rejected","Male","A"
"2.136","Rejected","Male","A"
"2.137","Rejected","Male","A"
"2.138","Rejected","Male","A"
"2.139","Rejected","Male","A"
"2.140","Rejected","Male","A"
"2.141","Rejected","Male","A"
"2.142","Rejected","Male","A"
"2.143","Rejected","Male","A"
"2.144","Rejected","Male","A"
"2.145","Rejected","Male","A"
"2.146","Rejected","Male","A"
"2.147","Rejected","Male","A"
"2.148","Rejected","Male","A"
"2.149","Rejected","Male","A"
"2.150","Rejected","Male","A"
"2.151","Rejected","Male","A"
"2.152","Rejected","Male","A"
"2.153","Rejected","Male","A"
"2.154","Rejected","Male","A"
"2.155","Rejected","Male","A"
"2.156","Rejected","Male","A"
"2.157","Rejected","Male","A"
"2.158","Rejected","Male","A"
"2.159","Rejected","Male","A"
"2.160","Rejected","Male","A"
"2.161","Rejected","Male","A"
"2.162","Rejected","Male","A"
"2.163","Rejected","Male","A"
"2.164","Rejected","Male","A"
"2.165","Rejected","Male","A"
"2.166","Rejected","Male","A"
"2.167","Rejected","Male","A"
"2.168","Rejected","Male","A"
"2.169","Rejected","Male","A"
"2.170","Rejected","Male","A"
"2.171","Rejected","Male","A"
"2.172","Rejected","Male","A"
"2.173","Rejected","Male","A"
"2.174","Rejected","Male","A"
"2.175","Rejected","Male","A"
"2.176","Rejected","Male","A"
"2.177","Rejected","Male","A"
"2.178","Rejected","Male","A"
"2.179","Rejected","Male","A"
"2.180","Rejected","Male","A"
"2.181","Rejected","Male","A"
"2.182","Rejected","Male","A"
"2.183","Rejected","Male","A"
"2.184","Rejected","Male","A"
"2.185","Rejected","Male","A"
"2.186","Rejected","Male","A"
"2.187","Rejected","Male","A"
"2.188","Rejected","Male","A"
"2.189","Rejected","Male","A"
"2.190","Rejected","Male","A"
"2.191","Rejected","Male","A"
"2.192","Rejected","Male","A"
"2.193","Rejected","Male","A"
"2.194","Rejected","Male","A"
"2.195","Rejected","Male","A"
"2.196","Rejected","Male","A"
"2.197","Rejected","Male","A"
"2.198","Rejected","Male","A"
"2.199","Rejected","Male","A"
"2.200","Rejected","Male","A"
"2.201","Rejected","Male","A"
"2.202","Rejected","Male","A"
"2.203","Rejected","Male","A"
"2.204","Rejected","Male","A"
"2.205","Rejected","Male","A"
"2.206","Rejected","Male","A"
"2.207","Rejected","Male","A"
"2.208","Rejected","Male","A"
"2.209","Rejected","Male","A"
"2.210","Rejected","Male","A"
"2.211","Rejected","Male","A"
"2.212","Rejected","Male","A"
"2.213","Rejected","Male","A"
"2.214","Rejected","Male","A"
"2.215","Rejected","Male","A"
"2.216","Rejected","Male","A"
"2.217","Rejected","Male","A"
"2.218","Rejected","Male","A"
"2.219","Rejected","Male","A"
"2.220","Rejected","Male","A"
"2.221","Rejected","Male","A"
"2.222","Rejected","Male","A"
"2.223","Rejected","Male","A"
"2.224","Rejected","Male","A"
"2.225","Rejected","Male","A"
"2.226","Rejected","Male","A"
"2.227","Rejected","Male","A"
"2.228","Rejected","Male","A"
"2.229","Rejected","Male","A"
"2.230","Rejected","Male","A"
"2.231","Rejected","Male","A"
"2.232","Rejected","Male","A"
"2.233","Rejected","Male","A"
"2.234","Rejected","Male","A"
"2.235","Rejected","Male","A"
"2.236","Rejected","Male","A"
"2.237","Rejected","Male","A"
"2.238","Rejected","Male","A"
"2.239","Rejected","Male","A"
"2.240","Rejected","Male","A"
"2.241","Rejected","Male","A"
"2.242","Rejected","Male","A"
"2.243","Rejected","Male","A"
"2.244","Rejected","Male","A"
"2.245","Rejected","Male","A"
"2.246","Rejected","Male","A"
"2.247","Rejected","Male","A"
"2.248","Rejected","Male","A"
"2.249","Rejected","Male","A"
"2.250","Rejected","Male","A"
"2.251","Rejected","Male","A"
"2.252","Rejected","Male","A"
"2.253","Rejected","Male","A"
"2.254","Rejected","Male","A"
"2.255","Rejected","Male","A"
"2.256","Rejected","Male","A"
"2.257","Rejected","Male","A"
"2.258","Rejected","Male","A"
"2.259","Rejected","Male","A"
"2.260","Rejected","Male","A"
"2.261","Rejected","Male","A"
"2.262","Rejected","Male","A"
"2.263","Rejected","Male","A"
"2.264","Rejected","Male","A"
"2.265","Rejected","Male","A"
"2.266","Rejected","Male","A"
"2.267","Rejected","Male","A"
"2.268","Rejected","Male","A"
"2.269","Rejected","Male","A"
"2.270","Rejected","Male","A"
"2.271","Rejected","Male","A"
"2.272","Rejected","Male","A"
"2.273","Rejected","Male","A"
"2.274","Rejected","Male","A"
"2.275","Rejected","Male","A"
"2.276","Rejected","Male","A"
"2.277","Rejected","Male","A"
"2.278","Rejected","Male","A"
"2.279","Rejected","Male","A"
"2.280","Rejected","Male","A"
"2.281","Rejected","Male","A"
"2.282","Rejected","Male","A"
"2.283","Rejected","Male","A"
"2.284","Rejected","Male","A"
"2.285","Rejected","Male","A"
"2.286","Rejected","Male","A"
"2.287","Rejected","Male","A"
"2.288","Rejected","Male","A"
"2.289","Rejected","Male","A"
"2.290","Rejected","Male","A"
"2.291","Rejected","Male","A"
"2.292","Rejected","Male","A"
"2.293","Rejected","Male","A"
"2.294","Rejected","Male","A"
"2.295","Rejected","Male","A"
"2.296","Rejected","Male","A"
"2.297","Rejected","Male","A"
"2.298","Rejected","Male","A"
"2.299","Rejected","Male","A"
"2.300","Rejected","Male","A"
"2.301","Rejected","Male","A"
"2.302","Rejected","Male","A"
"2.303","Rejected","Male","A"
"2.304","Rejected","Male","A"
"2.305","Rejected","Male","A"
"2.306","Rejected","Male","A"
"2.307","Rejected","Male","A"
"2.308","Rejected","Male","A"
"2.309","Rejected","Male","A"
"2.310","Rejected","Male","A"
"2.311","Rejected","Male","A"
"2.312","Rejected","Male","A"
"3","Admitted","Female","A"
"3.1","Admitted","Female","A"
"3.2","Admitted","Female","A"
"3.3","Admitted","Female","A"
"3.4","Admitted","Female","A"
"3.5","Admitted","Female","A"
"3.6","Admitted","Female","A"
"3.7","Admitted","Female","A"
"3.8","Admitted","Female","A"
"3.9","Admitted","Female","A"
"3.10","Admitted","Female","A"
"3.11","Admitted","Female","A"
"3.12","Admitted","Female","A"
"3.13","Admitted","Female","A"
"3.14","Admitted","Female","A"
"3.15","Admitted","Female","A"
"3.16","Admitted","Female","A"
"3.17","Admitted","Female","A"
"3.18","Admitted","Female","A"
"3.19","Admitted","Female","A"
"3.20","Admitted","Female","A"
"3.21","Admitted","Female","A"
"3.22","Admitted","Female","A"
"3.23","Admitted","Female","A"
"3.24","Admitted","Female","A"
"3.25","Admitted","Female","A"
"3.26","Admitted","Female","A"
"3.27","Admitted","Female","A"
"3.28","Admitted","Female","A"
"3.29","Admitted","Female","A"
"3.30","Admitted","Female","A"
"3.31","Admitted","Female","A"
"3.32","Admitted","Female","A"
"3.33","Admitted","Female","A"
"3.34","Admitted","Female","A"
"3.35","Admitted","Female","A"
"3.36","Admitted","Female","A"
"3.37","Admitted","Female","A"
"3.38","Admitted","Female","A"
"3.39","Admitted","Female","A"
"3.40","Admitted","Female","A"
"3.41","Admitted","Female","A"
"3.42","Admitted","Female","A"
"3.43","Admitted","Female","A"
"3.44","Admitted","Female","A"
"3.45","Admitted","Female","A"
"3.46","Admitted","Female","A"
"3.47","Admitted","Female","A"
